ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
snowflake/dbt/products/livestream_promotions__rank_advertiser_by_view,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__seller_funnel_events,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__show_promotion_pricing_hourly_baseline,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_promotions__suggested_budget,dbt__products__livestream_promotions,t3,Ads,snowflake
snowflake/dbt/products/livestream_user_bids_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/livestream_user_category_first_watch_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/livestream_user_engagements_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/livestream_user_first_watch_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/livestream_user_orders_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/livestream_user_seller_first_watch_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/livestream_user_watchtime_stg,dbt__products__analytics_core,t3,Analytics,snowflake
snowflake/dbt/products/logistics__my_live_stats,dbt__products__logistics,t2,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_counts_aggregated,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_counts_all,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_counts_livestream,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_counts_livestream_all,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_counts_marketplace,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_counts_weekly_bundling,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_history,dbt__products__logistics,t2,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_update_backend_event_summary,dbt__products__logistics,t3,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_update_backend_events,dbt__products__logistics,t3,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_update_events,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
snowflake/dbt/products/logistics__shipment_update_summary,dbt__products__logistics,t1,PaymentsAndLogistics,snowflake
